Source_Name,RA,E_RA,E_RA_tot,DEC,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_rms,S_Code,Mosaic_ID,Isl_id,median_local_sigma,mean_local_sigma,Closest_prototype,Closest_prototype_x,Closest_prototype_y,Heatmap,cutout_index
ILTJ111618.32+501115.9,169.07635147142818,0.11781731298525012,0.19669722847511367,50.18775963910254,0.4826949183190781,0.5077433058365104,0.9242325423635096,0.06147234671516344,0.1948001055061776,1.5849886061095098,0.14607867552745896,0.3490365807529854,9.320938713639604,1.1464122243863997,4.152064575756379,0.2338939414484815,96.59527835838064,5.6948601067427305,0.06147234671516344,M,P10Hetde,4355,6.190217e-05,6.1907485e-05,35,5,3,"[ 6.14935732  3.10659623  2.76252055  2.83882713  2.47666788  1.86675203
  1.54194808  3.92345667 13.60201263  7.45953608  6.75020123  7.67043972
  5.74276733  3.39333391  1.77779317  0.94310629  1.3655107   2.41096807
  4.86345148  6.43024731 16.19855118 19.68567276 17.20671844 14.72105122
  4.55479527  0.73983067  1.54856014  4.44509125  7.46545267 11.93152237
 22.02691078 29.69374084 33.57590866 29.13020325  7.53698254  1.60286999
  2.89003873  5.38068485  9.32722855 15.21053505 26.99104309 41.1177597
 60.24317932 63.54240036 13.0472908   2.9286027   4.45310307  7.2284584
 11.59854698 17.7748909  29.4777565  43.48942566 36.15567017 21.15800285
  4.071311    3.76850128  5.61571264  8.21645832 12.13945103 18.00890732
 24.84358215 22.63935471 10.75195217  4.0834074   3.13397288  4.17926741
  5.73466206  7.74003792 11.61473083 17.17930984 10.9142704   5.4942193
  3.66234565  3.38797522  3.41341877  3.9269464   4.35604954  5.25142765
  7.8201313  13.76387024 10.16728783  3.76981425  3.37942648  3.28126717
  3.34310913  3.10279465  2.89405298  3.7087326  10.15127945 15.31597614
  7.716043    2.94166422  3.31369877  3.11920428  2.81587267  2.44845557
  2.09818292  5.20200539 13.92098904 11.25685978]",324648
ILTJ111546.13+501037.1,168.94221702657552,0.13941166119938206,0.21034374658900126,50.17698116390158,0.4027432681190174,0.4324477083601131,1.0357266054779373,0.07016508607193828,0.2187060203910184,2.1331905126481243,0.16797565000637404,0.4585148738319647,9.430592220421005,0.9763713359008084,4.471224294824785,0.23219081801461736,103.01708414076576,5.428429507677588,0.07016508607193828,M,P10Hetde,4509,6.994805e-05,7.0807175e-05,35,5,3,"[10.63889027  6.27059603  3.75293636  3.85746622  3.6212554   3.12970209
  2.96772909  5.40603638 14.36869812 10.65666008 10.28733635 10.75287628
  8.22859192  5.00653791  3.14315605  2.40510035  3.07764053  4.83164787
  7.70939827  9.7186203  18.2606926  22.38778305 21.16294479 18.8626976
  6.21178532  2.17481613  3.20449066  6.37792683 10.07623291 14.15812778
 23.32992554 31.2061348  35.71062469 32.21753693  8.72996712  2.52924466
  3.75580311  6.54936314 10.78406906 16.67992973 27.04065132 40.70712662
 60.10103226 62.94426727 13.03775787  2.78658724  4.12510777  6.85647392
 11.33458519 17.6661396  27.83027267 41.890728   35.48157501 20.62806702
  3.48172092  2.91772699  4.28395557  6.66793156 10.51596451 16.37945747
 22.75862885 21.50688171  9.92865181  3.58547163  2.39852667  3.06034732
  4.30494404  6.23636007  9.75101757 15.18089676 10.86558533  5.2592597
  3.53400517  3.05913782  2.85280514  3.20349026  3.77227068  4.85455322
  6.96883392 12.99593353 12.00426292  4.36677551  3.67595601  3.53301144
  3.35873723  3.24665141  3.11558771  3.9106164   9.21937752 15.68436432
 11.30235291  4.5381794   3.99067974  3.81290436  3.58655596  3.22101974
  2.82469511  4.96098709 12.77015305 12.96357822]",324773
ILTJ111759.73+484150.3,169.49888386806958,0.8176228252547192,0.8326559702711772,48.69730752398753,0.0847682411637894,0.17887016285766905,0.3192044174296415,0.05606995910056867,0.08496763335413854,0.7135880039424188,0.13380295277787302,0.19563114206817567,7.069480541669579,1.9260965019713288,2.5982065308477478,0.1923236888178152,0.8934056951006831,6.935198283727821,0.05606995910056867,M,P10Hetde,3878,5.5985238e-05,5.5970802e-05,35,5,3,"[12.72878456  9.09909534  7.73151255  7.81990337  7.74773979  7.5041151
  7.41352129  9.52245712 18.36005211 13.60003948 12.62892818 12.9505806
  9.44165421  7.7159605   7.47162294  7.18380833  7.69641209  8.74135971
 10.72551155 12.55589676 20.04276085 22.5601387  18.67211723 16.16422272
  8.06333733  6.80255079  7.96697998 10.32911873 13.52857018 17.54154587
 26.17176056 31.10422325 32.85015106 27.77915764  9.58490276  7.07439232
  8.76557255 11.5920496  15.65388298 21.32692719 30.87307358 41.16719437
 57.29985046 58.96850204 14.16618538  7.78648281  9.71973419 12.80672264
 17.41710854 23.4880352  32.62493515 43.49016571 35.65486908 21.57104492
  8.07640076  8.22527885  9.867939   12.48055077 16.6028862  22.39899063
 27.56151962 24.2233429  13.7395401   7.81684017  7.21915817  7.9731741
  9.27288914 11.40806103 15.22179985 20.56030846 14.66702652  9.05433273
  7.52423859  7.32060146  7.44036388  7.70538759  8.38296604  9.56565571
 11.75194454 17.38453293 14.99405003  8.07173538  7.67469025  7.53528309
  7.68232393  7.48084068  7.62302971  8.29726982 14.3632164  19.9487915
 13.4623661   7.93344975  7.82011414  7.75484848  7.67233849  7.47493362
  7.31235123 10.10395432 18.00205994 17.13794708]",324256
ILTJ113728.16+465842.3,174.3673173897275,0.158403927583958,0.1811863967320709,46.97842404811754,0.6534537133026722,0.6593469962893427,0.6618600063618235,0.06751354521838948,0.14859483675015914,1.335214799004084,0.1613624793689089,0.3120092821171547,9.190276974278971,1.5645551650061091,3.6725122251348186,0.2431175553362443,80.77556323480594,6.3840353231278595,0.06751354521838948,M,P11Hetde,486,6.737888e-05,6.745323e-05,35,5,3,"[ 8.49880314  4.92009068  3.40471363  3.70181775  3.45446754  3.00762844
  2.83401966  5.17011738 14.23853207  9.36856842  7.8783884   8.25726509
  5.86750698  4.11056042  2.83594751  2.17573357  2.85663271  4.34694099
  6.75987816  8.0169239  15.19764996 18.39059448 16.53430176 15.4486599
  5.40518284  2.11155581  3.13016939  6.01252937  9.5266304  12.56853294
 20.50483322 27.12430954 31.19701004 28.2160778   7.82208824  2.95472503
  3.97926378  6.67527676 10.41796494 15.56754303 25.4879837  37.99077988
 56.49648285 60.52128601 12.49162483  3.79282713  5.30843925  7.87612343
 11.8600769  17.5432663  28.28489685 40.97445297 33.81494904 19.52969933
  4.15883923  4.17931175  5.91517115  8.44769287 12.13079643 17.56069183
 24.15584755 21.28629684  9.66270065  4.11957836  3.34139347  4.43660498
  5.9434557   7.93833256 11.67250633 16.97711563 11.20102882  5.32737923
  3.84684992  3.6699326   3.64300776  4.23985529  4.84924698  5.89478302
  8.11240673 13.54573631 11.09720993  4.27971268  3.91773891  3.81609607
  3.75934362  3.79531288  3.71956539  4.43963432 10.58567333 15.52557087
  9.45336914  3.92506838  3.98174715  3.8365202   3.62256861  3.32045627
  3.07921219  5.95679951 15.15601254 12.71256065]",315201
ILTJ113718.73+472743.3,174.32804561698006,0.6020935039511914,0.6084844234546608,47.46205060142,0.4869004037397335,0.4947814762586035,0.5138766880772119,0.06379998376360163,0.12096779716190585,1.1184072971481058,0.15000851253959074,0.2693249879363328,8.380398387820701,1.7893005515199267,3.7989667728113234,0.3510394069580612,39.774016457181,9.424938181263084,0.06379998376360163,M,P11Hetde,545,6.350048e-05,6.359422e-05,35,5,3,"[ 8.46793175  4.62591934  3.48886108  3.74724627  3.46802306  2.86315918
  2.50104141  4.96081161 15.34768295  9.57219505  8.3410759   9.00919151
  7.07230997  4.45403671  2.73812985  1.88091946  2.36250782  3.54152632
  5.90581846  7.61572409 16.70007133 20.5827961  18.82758331 16.9173069
  5.23418808  1.10202217  2.16419649  5.08528233  8.03277111 12.21781349
 21.72189903 29.45604706 33.65306091 30.3209877   7.60699844  1.17583597
  2.80268955  5.25119114  9.18531609 14.93856716 25.61597443 39.53955841
 58.69784927 63.12322235 12.31719875  1.80485702  3.1832583   5.89018726
 10.28605461 16.50149536 27.01677322 40.92219543 34.49591446 20.04316711
  3.04235959  2.41554308  3.7071209   6.03507328  9.88175392 15.75464821
 22.22176743 20.60624695  9.60383129  3.37931538  2.47861958  2.74676871
  3.89885092  5.82384014  9.37080765 14.79390144 10.06380272  5.06887913
  3.51014185  3.24002171  2.77337193  2.96258497  3.42059612  4.38233948
  6.58676672 12.47904205 11.17813969  4.16231298  3.68150091  3.44384408
  3.50864005  2.98717976  2.76154399  3.48707318 10.38127136 15.89988804
  9.66054344  3.83552122  3.92274451  3.73297     3.4636488   3.01059461
  2.50871158  5.75547314 15.5129528  13.19645691]",315251
ILTJ113025.21+462139.0,172.60502675982016,0.4877451922988732,0.4956128314495019,46.360835758024095,1.8302928050994387,1.8324051021773269,0.29568986009383946,0.07882686622906476,0.09854427722596296,0.9453725089808112,0.181281582337703,0.2619392664804732,9.640535263441636,4.429573102270823,3.3926145234970195,0.5236811883492662,103.47230633695328,14.277323047097573,0.07882686622906476,M,P11Hetde,6814,7.836026e-05,7.834358e-05,35,5,3,"[14.09427834 11.17258739 10.65703011 11.42880249 11.2304821  10.82723999
 10.69503021 10.76685333 18.18751526 14.43770981 13.31536388 14.49213982
 13.16362381 11.00970459 10.02957058  9.51072884 10.40060902 11.89096451
 11.99824429 12.55218697 20.4809761  25.04468536 23.93024063 21.44745445
 11.11439037  8.61868858 10.02460194 13.06271553 14.99904537 16.74333
 26.41176033 34.31424713 38.02867889 33.64949036 13.44843292  9.01768208
 10.08102036 13.28229713 16.22259903 20.18379784 31.62631035 44.83466721
 62.36593246 64.2678833  18.05953789 10.28946209 11.66544437 14.02094078
 18.05974197 23.15832901 33.95110703 46.96434021 39.72045135 25.3985405
 11.2334671  11.50969982 13.08618546 15.29417038 18.66884804 23.71045685
 29.83550453 27.4298687  16.70763969 11.70376015 10.61371899 12.0586586
 13.68166161 15.47200012 18.70926094 23.4924202  17.26568604 11.81726551
 11.21761322 11.46273613 11.19291019 11.99985027 12.7613163  13.75127602
 15.37139893 20.06713104 17.03214264 11.53778648 11.79244614 11.81989193
 11.33659363 11.69395065 11.75406456 11.79909897 17.01119232 21.83135986
 15.1981678  10.85147476 11.70431137 11.60578728 11.48643208 11.31527138
 10.90390205 12.48381424 20.17059708 18.64386749]",320575
ILTJ112354.73+475605.8,170.97803892921542,0.20699735949326656,0.2249102330351205,47.93495109358244,0.6257143023056948,0.6318663578610828,0.4214576350327576,0.06452700472436845,0.10615458475164824,1.1125053691542994,0.15010231153485906,0.26839789824809296,7.565328910337003,1.526918015379287,3.4295751379382997,0.2777760891310187,73.35431242962979,8.261273719352488,0.06452700472436845,M,P11Hetde,5577,6.483745e-05,6.494676e-05,35,5,3,"[13.32783318  9.24382877  6.90192795  7.11208677  6.88716221  6.49461889
  6.28384066  8.74153519 19.15414619 14.1340065  12.57161999 11.25065041
  7.74476004  7.22566032  6.38278484  6.11462784  6.47914076  7.65898991
 10.26158714 12.12485886 19.1860466  19.9920826  15.99122238 15.11193752
  7.43263435  5.65529919  6.67798424  9.3196516  12.35910797 16.18728065
 23.50224113 27.44896698 28.18760681 25.70975876  8.49427986  5.87095737
  7.37602377 10.03901577 13.99139595 18.99718666 27.36216736 36.92670822
 51.6997757  56.65470123 12.80396652  6.27073574  8.0232811  10.88249779
 15.12769318 20.42511368 29.16990089 40.1639328  31.65346336 18.14172935
  6.58484554  6.67673779  8.15543175 10.64370728 14.37666702 19.56470108
 25.16970253 22.06098557 10.59539413  6.14511299  5.91133499  6.65206051
  8.03941154  9.92972374 13.45608521 18.56317902 13.84353256  8.10375595
  6.50359821  6.48046446  6.25630188  6.63843584  7.28863478  8.23224068
 10.52858353 16.2584362  14.64396667  7.56655216  6.97602892  6.74935102
  6.49875259  6.59084797  6.51862431  7.22427177 14.26549149 19.12781906
 14.09469223  7.64140892  7.26061249  7.04965353  6.79950666  6.47430325
  6.26508236  9.46557617 19.96061325 17.38128662]",319676
ILTJ112356.70+471413.6,170.9862688239873,0.2285895686814152,0.2449283507409525,47.23712046197334,0.6270248232916957,0.6331641454715434,0.3993419615662102,0.06359154940582812,0.10209233686489803,0.8165104941074881,0.1555871532505471,0.2255547333489488,7.245602688922474,1.558801597375667,2.904727369204461,0.20008367046688127,107.70570782072649,6.650679768445468,0.06359154940582812,M,P11Hetde,5597,6.365685e-05,6.3582185e-05,35,5,3,"[12.43718529  8.8829937   7.60753918  7.46032333  7.20675755  6.82336903
  6.78398514  9.29101944 15.35671234 12.47152519 12.74961662 13.23155403
 11.0723238   7.08849382  6.76375914  6.19747782  6.96219826  8.39705753
 11.13395977 12.6775341  21.87440681 24.46860123 22.40439606 15.26425362
  8.08695984  6.08844566  7.38447428 10.75238037 13.76524353 18.27103806
 27.29423523 33.93128586 37.64668274 28.79363251 11.53533363  6.85953283
  8.8279705  11.47781277 15.53113937 21.00858498 31.81394577 45.24900818
 62.94950485 61.86990738 17.23042107  8.08120728 10.10330391 13.11297226
 17.45928574 23.22446823 34.45932388 47.97658539 39.88381195 24.01129913
  8.79374313  8.95210075 10.94188499 13.65027332 17.67751884 23.38121033
 30.14785385 27.50722885 15.36062527  8.68407059  7.99198437  9.06484413
 10.700243   12.94112778 17.01109505 22.64955521 16.44944763 10.51339817
  8.23580265  8.05757904  8.11214066  8.61059952  9.28585625 10.5017519
 13.1398077  19.22306442 15.85840797  8.5267725   7.82744741  7.75557041
  8.09500027  7.7849412   7.85500145  8.88569736 15.53120327 20.91040039
 13.79302788  7.97818089  7.79806137  7.67751026  7.49088192  7.23751926
  7.11170912 10.2399025  18.6152401  17.18386459]",319692
ILTJ113152.26+505022.2,172.96776279418376,0.2541797835433431,0.267758970279431,50.83950365942457,0.7720687085024764,0.7766450891183453,0.5094082795373472,0.07492249278584495,0.1264644287366728,1.2173303057836649,0.1766826249980945,0.300819668425107,8.67926397855579,1.9016484113085372,3.136082445937099,0.2177565930768277,107.48258210145136,6.472326324633076,0.07492249278584495,M,P12Hetde,3238,7.4954514e-05,7.493375e-05,35,5,3,"[11.236516    6.79290485  4.56398201  4.88946056  4.62135315  3.97154832
  3.70600891  6.65743017 17.70901489 12.18675423 10.05655289 10.57404709
  8.50487328  5.76525497  3.83409166  2.92706442  3.63127756  5.3458271
  7.93227196  8.98995972 16.80660248 21.43530273 21.00461197 19.39868927
  6.73382139  2.401963    3.45848775  6.75993443  9.58254719 12.45369148
 21.53502655 29.54588127 34.50875092 31.98887253  8.75255394  2.60576272
  3.755898    6.23844147 10.05546379 14.78299141 24.72801781 38.16358185
 57.60140991 62.65844345 12.63518715  2.74053478  3.76167989  6.11805153
 10.18114376 16.10016251 25.73020172 39.07255173 33.35359192 19.67395782
  3.46606231  2.87586164  3.95603609  6.05292225  9.55314445 15.12606049
 21.42019653 19.7403183   8.803936    3.58680296  3.1502986   3.33155012
  4.34984016  6.07956362  9.32063198 14.42948341  9.58064842  4.86211348
  3.84099817  4.06420517  3.49334764  3.69950271  4.16143942  5.17878342
  6.92918873 12.06610107 11.21464825  4.67840862  4.80827045  4.62087774
  4.34278107  3.98562908  3.80011272  4.36468649 11.33448124 16.65462112
 11.19491768  5.07679415  5.0357995   4.88426018  4.69982815  4.22266531
  3.53397131  7.10904694 17.49458313 15.70041466]",311771
ILTJ112950.64+521510.4,172.4609854226179,0.6155143184503769,0.6212450241413547,52.252889425749466,0.12550874398549186,0.15112891391052954,0.4146704464486689,0.06811777711845934,0.10732238688119844,0.8149797603051586,0.1662853374158922,0.23284865004504374,7.08014053612935,1.4665466219140189,2.888696082915252,0.1934560862586885,171.08164135276385,6.510200552079259,0.06811777711845934,M,P12Hetde,4076,6.813097e-05,6.793549e-05,35,5,3,"[ 9.30090809  5.65372992  3.73538733  4.01260662  3.99019098  3.79210448
  4.13715458  5.96436453 13.94701958 10.02682686  9.41224575  9.98599148
  7.70984459  4.85583878  3.44725132  3.15428758  4.65150738  6.65273094
  8.18093586  9.18709564 18.23090744 21.88194656 20.37690353 17.32871628
  6.25610733  2.89823723  5.06489515  8.43326855 10.87510109 14.36428738
 24.13833618 31.70419312 35.73372269 31.25777245  9.04248905  3.71924901
  5.68924618  9.088871   12.5668602  17.83679962 28.71527672 42.52455139
 61.30812073 63.97819519 13.97649193  4.56234598  6.59761477  9.90360069
 14.18388367 19.98008156 30.73364639 44.30926895 36.9276123  21.65550995
  4.85953999  4.7985425   6.73581028  9.62642097 13.75145531 19.61235809
 25.86537552 23.52086639 11.22972298  4.49469852  3.45703626  4.73143864
  6.38260508  8.94380283 13.05786133 18.57915497 11.31982708  5.74227858
  3.8971343   3.68451381  3.80240107  4.59183311  5.74401808  7.40453148
  9.03376007 13.88400173 10.64603615  4.19831514  3.76440573  3.8820703
  3.99870658  4.34616661  4.71699905  5.44258499 10.72445202 15.42730999
  9.69274139  4.20756626  3.94135904  4.02568865  4.07803345  4.03696442
  3.98860121  6.35294724 15.49169159 13.14304733]",312386
