Source_Name,RA,E_RA,E_RA_tot,DEC,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_rms,S_Code,Mosaic_ID,Isl_id,median_local_sigma,mean_local_sigma,Closest_prototype,Closest_prototype_x,Closest_prototype_y,Heatmap,cutout_index
ILTJ113139.16+520554.3,172.91318668027802,0.03648613660699518,0.09175370274525613,52.098416090412215,0.04492950205735495,0.09542622259149927,18.151911593098134,0.1598407980054617,3.633899401476744,45.22525254302903,0.3384118925577872,9.051378972966203,10.084476622362617,0.1091362342915304,8.40835788542247,0.08163983689324249,111.9759269707973,2.581284892714512,0.1598407980054617,M,P12Hetde,3356,0.0001095218,0.000116367264,7,7,0,"[19.41423607 13.93382454  9.72874451  9.08401966  8.60395813  7.89003325
  6.97272587  7.37120724 12.27454567 14.63507843 16.81472778 17.20303726
 13.55208874  9.21705055  8.17506886  7.89417028  6.9203701   7.17886734
  7.49945259 12.99532127 21.48487473 25.84988022 24.84514236 18.92838669
  8.4053154   8.44249821  7.32487869  8.09760475 11.14888191 16.07390976
 24.91624451 31.0929184  32.94149017 26.7004261   7.94838047  8.32310677
  8.01248932  8.88083076 12.45452118 18.12639236 25.15625954 35.29979324
 49.39182281 49.64637756  7.98882103  6.91670132  7.36514664  9.00479031
 12.47230148 17.37643433 22.28997993 33.15467834 27.71969986 15.40601444
  4.78669405  5.98229694  6.29706383  7.32756424  9.77314377 13.69826508
 16.06544495 16.09526062  9.20303631  6.29568529  6.41924763  5.87541294
  5.52924967  5.73875189  7.41321182 10.58634186  9.15533447  6.73430538
  7.35183573  7.38250542  6.81913519  6.00763941  5.23067856  5.03802776
  4.41304684  8.29110813 16.9643364   9.72685814  8.93297386  8.22482872
  7.5095582   6.51651239  5.65553761  3.99379921  8.28147793 16.8686142
 18.85521317 10.98139763  9.5388298   8.80931568  8.13157177  7.33516312
  6.51000118  5.1027956  13.22076988 17.76161957]",311853
ILTJ114346.27+490644.9,175.94279953581582,0.021807138311584155,0.1503414616862765,49.11247677364006,0.051163586392085264,0.1573045339242514,25.513131403774253,0.1449077681172639,5.104683459560524,63.287632999065195,0.38122234938182376,12.663266170488672,13.791579336742775,0.12470641699793394,6.702035689188224,0.040012579417978984,75.1413109779759,0.6333743533822972,0.1449077681172639,M,P14Hetde,872,0.000101951504,0.000106433,7,7,0,"[17.6459465  12.91937828 10.59941673 10.25720882  9.65785122  8.50915718
  6.81505966 10.15575218 19.79351234 15.45793629 13.67500305 15.26163673
 13.98073959 11.48618889  9.28436852  7.62520981  5.63570499  4.95406532
  6.97936964  9.53804588 15.59805775 22.57876205 24.78475761 24.4276886
 11.72133827  7.1974535   4.81840801  4.11274576  5.51827431  9.41973305
 17.78334808 27.07092667 33.70960617 32.71908569 11.61744499  6.19802856
  4.47826862  3.95575714  5.76202965 10.32626343 18.22418594 31.54733658
 51.22851562 57.9342804  12.34076405  4.96082401  4.19167948  4.30250883
  6.04892921 10.12921715 17.25399399 30.27320862 27.53646469 17.73786926
  5.68420506  5.05650616  4.56702995  4.39000988  5.48564577  8.60028934
 13.11219692 13.83388138  7.96360588  5.95218563  6.57043934  5.87369251
  5.08922338  4.72507143  5.56931067  7.80484962  4.80230808  5.60154009
  7.79167795  8.2405386   7.6872344   6.69800854  5.46004105  4.28799725
  2.89189744  3.99644709 11.21430492  8.78442955 10.14247227  9.42586994
  8.705513    7.4732008   5.92948723  4.48035002  7.07526493 10.96338177
 15.1700983  10.84987926 10.75637341 10.07465649  9.31093788  8.20553112
  6.87486792  8.31692982 16.34777069 14.2697773 ]",306621
ILTJ112307.88+544108.8,170.78284291809547,0.13898496674691765,0.17017939867330908,54.685803769482696,0.18084161086890685,0.20578604173468226,3.131597936448092,0.06561686313943937,0.6297474082129261,15.566130250574307,0.11529780881137143,3.115360336113704,14.703282063361435,0.4356135312231612,11.544364353737466,0.3141716182276573,109.05588643284109,5.7517392808072545,0.06561686313943937,M,P169+55,1909,6.533801e-05,6.535954e-05,7,7,0,"[13.67092419  9.36408138  7.47953129  7.236691    6.58443546  5.52277088
  4.0305233   7.16842461 18.61042404 13.31216049 10.37288284 11.8252182
 10.25109291  8.00907898  6.38084078  4.99127293  3.19609213  2.68626022
  5.30864954  7.28929901 13.90801525 19.85398674 21.11565399 20.40893936
  8.73706245  4.97202969  2.91422844  2.6095221   4.22258282  8.38627243
 17.17917633 24.92419624 30.409935   29.61667252  8.87553596  4.6031971
  3.50885582  3.19526196  5.38346148 10.36595535 17.61244202 29.21969986
 47.11029816 54.4079361  10.44036007  3.81976175  3.52982807  4.1787014
  6.39895248 10.36062431 15.82799339 26.67222977 23.49849701 15.06246471
  3.79331422  3.78264475  3.76158428  4.00578499  5.36232758  8.32568741
 10.75480652 10.84997368  5.8788538   4.1532917   4.72021961  4.26539707
  3.63060236  3.20008898  4.17305899  6.21789598  3.06867361  2.92952371
  5.43887711  5.88134813  5.50914669  4.56799793  3.24846935  2.23458028
  2.05956221  4.33583546  9.69687843  6.15964317  7.42741299  6.77444363
  5.96202898  4.81796932  3.46479678  2.99530077  8.79585457 12.69008255
 12.02880859  7.55571365  7.90098476  7.17815781  6.38981295  5.36241436
  4.18955803  7.30992508 17.66023254 14.95595551]",292613
ILTJ114236.43+542827.3,175.65177854214542,0.314339443147757,0.32666262124561285,54.474251597513806,0.2670572399850445,0.28145825983445993,0.9050702487430498,0.059457826864672825,0.19052905128053735,2.6346399973834504,0.13521529355837042,0.5440002686070872,10.596315628994077,0.9133395186934051,5.903569408283312,0.33046272512860914,142.74064531298512,6.577695888439676,0.059457826864672825,M,P173+55,1208,5.9403043e-05,5.971472e-05,7,7,0,"[16.19645309 10.80278969  6.37706757  5.91246128  5.71067905  5.38657331
  5.00078011  6.06741524 14.66303062 13.74815464 13.678442   13.80320263
 10.74902439  7.3438549   5.92240524  5.68480396  5.37424088  6.38310099
  7.54879284 11.63187885 18.69805527 23.53334045 23.5882225  21.47243881
  9.19494629  6.39270592  5.91576576  7.20347023 10.16853142 14.21272469
 21.32520294 28.99132156 33.78429413 30.80403328  9.94138336  6.45092487
  6.51976252  7.4668498  10.49393177 15.05036926 21.65267754 33.80605698
 51.67872238 54.924263   10.65175629  5.07046413  5.64396334  7.1174016
 10.01611137 14.218647   20.01905823 31.94930267 27.82574844 16.12208176
  3.88916445  3.96915531  4.44091415  5.5310955   7.78804255 11.47911167
 15.0340023  14.54445267  6.71383667  3.46197867  3.84544206  3.56855774
  3.57488823  4.1955924   6.16093063  9.61834431  8.33399582  4.07841921
  4.12435436  4.3447156   4.0113163   3.51587582  3.28174853  3.63077593
  4.39002323  8.79043388 14.7074337   6.35328197  5.56804466  5.07117748
  4.49886942  3.97203207  3.62435937  3.1016748   9.11206245 16.63853073
 15.94618416  7.6090951   6.1104908   5.58482838  5.17844677  4.7216301
  4.27801275  5.00958538 14.83196831 16.99544907]",278539
ILTJ123112.84+553559.5,187.8035002191799,0.05029908660153983,0.10080468718788987,55.59986659014579,0.042361358447963314,0.09708795772728954,8.720556165306377,0.0751245825085789,1.745728414212134,26.997980300240997,0.1944808955147078,5.403097299735425,11.830121028866262,0.13395268802642624,8.306549831042322,0.07769621526169182,35.594565727210394,1.494880866339843,0.0751245825085789,M,P187+55,2799,7.461106e-05,7.4449075e-05,7,7,0,"[25.31407166 18.99590302 14.11321831 13.59117413 12.99241829 11.93476295
 10.55796432 12.7020216  22.77581406 21.43864059 21.53134918 21.73714066
 18.28837585 14.85583687 12.92116356 11.53662109 10.07814789 10.78353882
 13.70949554 17.74580956 24.52715111 30.26865387 30.74247932 29.28860474
 15.1668663  11.40034866  9.67363262 10.21229935 13.44092655 18.76846695
 26.04947281 33.77135086 38.63288879 36.02009964 13.98421001 10.159132
  9.16991234  9.31021118 12.5778141  18.72738266 23.36701202 34.82957458
 52.09766388 55.43925858 12.34244537  7.56230402  6.98235035  7.59982681
 10.45821571 15.22947979 18.22324944 29.83374023 27.37903976 17.14680099
  6.56428671  6.54932117  5.67392159  5.56841803  6.95198965 10.20576286
 11.88288975 14.10247707  9.63090897  8.32891178  8.32699108  6.96349382
  5.57360268  4.76281548  5.02843952  6.9690876   6.97475624  8.6514473
 10.36402893 10.42938805  9.30305862  7.89606953  6.41599274  5.52802849
  2.72919273  4.64500904 17.7842865  12.40289116 12.90953159 11.9648695
 10.75819588  9.35190964  7.9286046   5.15828228  8.0600481  15.66710854
 22.82965469 15.184659   13.91908836 12.99175835 12.18532181 10.96359634
  9.5478611   8.96842194 18.30676651 20.04245377]",263484
ILTJ115217.68+491308.9,178.07365316516467,0.3109529938294107,0.32822766887098626,49.21914852324316,0.243964339083258,0.2656317695332001,1.3095987025271838,0.06699637742713094,0.2703524829824833,3.7054111302562838,0.14016449877307147,0.7542207584556344,10.722884184924094,0.8687933827800558,6.1362287060651575,0.3337847213119684,143.70066932659813,6.554374221289655,0.06699637742713094,M,P18Hetde,5224,6.725039e-05,6.677764e-05,7,7,0,"[15.62759399 10.74131775  7.93461227  7.74763584  7.19812632  6.26497459
  5.24710035  8.65600777 15.71069336 13.32012558 13.9910202  14.51437759
 12.02732277  8.96408272  6.8345418   5.58238029  4.74055052  5.50815725
  7.65992641 11.68518829 20.24174309 24.98980713 24.559021   23.07059097
  9.94568729  5.5715971   4.62329102  6.04199791  9.21988487 14.43512058
 23.44890213 31.91640663 37.09503555 33.44371033 11.05282974  5.41405392
  5.04736137  6.18397999  9.77191448 15.73661232 24.63570404 38.19957733
 57.67800903 60.24996185 12.71693039  4.73727036  4.97249794  6.5624156
 10.0861454  15.65055847 23.72237968 37.276474   32.98458862 20.40254402
  5.30832481  4.5158534   4.99205017  6.22337151  8.85005951 13.51392174
 18.54808235 18.71009827 10.26735497  5.75785732  5.18141174  4.91538668
  5.05348825  5.70580769  7.86867619 11.94913483  9.00184631  6.60935879
  6.58987141  6.41935921  5.74166155  5.29725599  4.81772709  4.7474494
  4.5357666   8.53854084 14.10141659  8.10397148  7.74295378  7.21569729
  6.58857155  5.72447777  4.78351879  3.11459064  6.16539383 14.36170006
 15.20800304  8.83006191  8.25112247  7.66728115  7.03031015  6.16751957
  5.20769787  4.25156927 11.93834114 14.29997826]",259589
ILTJ130100.02+544311.7,195.2500924727249,0.5301469780903529,0.5389800114977908,54.71993967718733,0.3362949540151798,0.3500541822516871,0.5481127498896399,0.060901540564373136,0.12540375236322598,1.9484124776131968,0.13419342336356058,0.4121411435306887,8.788446872944457,1.2838075765324328,6.416521133783723,0.7331237487357988,162.83761364547806,19.82661175353249,0.060901540564373136,M,P196+55,5630,6.071222e-05,6.0713184e-05,7,7,0,"[20.28661346 14.87812424 10.68322754 10.06267929  9.6881237   9.11499405
  8.8109169  11.6865387  21.80205917 18.37662506 18.37608337 18.88798141
 15.61050034 11.94464207  9.78756809  8.93201065  9.19821548 11.35886288
 14.04451466 16.54195786 24.52325439 29.67144394 29.21842957 27.39605331
 13.52429199  9.22787476  9.60416794 12.57185745 15.36467743 19.43774796
 28.52959061 36.47941971 41.2671051  38.06501389 15.07789421  9.23917198
  9.90000153 12.22146511 16.22354889 21.51297379 29.55439377 41.98925781
 60.80662155 65.01745605 17.50156593  8.18886948  8.92869568 11.25811291
 15.69486046 21.16082573 26.92259789 39.14392471 35.00935364 23.23543739
  8.07963943  7.31533146  7.97521973  9.68975258 12.68516922 17.40477371
 20.23427582 20.27680588 12.21401024  8.26231384  7.27072811  7.22725296
  7.2513485   8.07640266 10.28899765 14.23252869 11.95581055  8.86776924
  8.71008015  8.30766487  7.85262156  7.38105488  7.00880957  7.5384984
  7.38242435 11.42824173 17.86965561 10.37434387  9.65709496  9.09353924
  8.53263283  7.83870697  7.34141541  6.05175018  9.68102646 17.9455986
 19.41442871 11.79510689 10.33469296  9.74079323  9.19859505  8.53996468
  8.00441265  8.15160179 17.17530251 18.28422356]",244530
ILTJ135142.66+483227.0,207.9277415622255,0.023522105086342882,0.10434013748788427,48.54083554153637,0.015022959490688869,0.10275828032405232,29.54983578736788,0.105091166915372,5.910901450352553,76.94042946378337,0.26020047887367537,15.390285628670545,12.058616523557387,0.055390450587475284,8.948384309386846,0.03537616881473209,1.2303756618455717,0.7130756268729409,0.105091166915372,M,P1Hetdex,1241,7.959636e-05,8.383433e-05,7,7,0,"[21.19961166 15.9473753  11.61803627 10.96211243 10.54765034  9.89134121
  9.09004402 12.18355274 21.07309341 17.63215637 19.31783676 19.80039978
 16.18025398 12.65723801 10.78360748 10.01805878  9.18536186  9.95242882
 12.71227551 16.36399078 24.89299202 29.93548965 29.2575531  27.46304893
 14.32877636 10.58486938  9.59740257 10.63932991 14.01753807 19.21136093
 27.84838295 35.44710541 39.42481232 35.84599686 14.67445183 10.45572281
 10.20063782 11.23713684 14.90775585 20.6544838  27.67431641 39.54497528
 56.47735596 58.45600891 14.48519802  9.00111103  9.45148277 11.15901375
 14.66549873 19.67465782 24.59132004 36.38142395 32.19062042 20.07559013
  7.84910774  8.00681305  8.31234741  9.4156723  11.87609196 15.88350773
 18.0389061  18.80181885 11.85946274  8.3712883   8.30855942  7.7939353
  7.47182465  7.76935768  9.44460869 12.32060242  6.76924181  7.6607933
  9.2498436   9.2092495   8.67430878  7.8932476   7.20720196  6.98436975
  4.11351061  4.5137639  12.24525356  9.31545639 10.70020866 10.04355335
  9.36213303  8.41194344  7.62845182  4.81089401  4.62790203  9.19625187
 17.46679878 12.17563248 11.3399353  10.64746666 10.00395966  9.26690865
  8.42728901  7.47444582 14.30407619 13.23364639]",227174
ILTJ132425.47+561302.4,201.1061211443974,0.05172203750601631,0.11284507922779442,56.217341196932075,0.033212671841869004,0.10565000858035514,12.621433161715903,0.0849725620355457,2.5257164010484945,28.92422479485023,0.20931194460215952,5.7886304675177085,12.917863191792321,0.13207270903079454,7.675990755565021,0.0592272765086616,26.097606890774607,0.9666335641725162,0.0849725620355457,M,P200+55,2850,8.170965e-05,8.156041e-05,7,7,0,"[12.33854485  7.52721786  3.84440327  3.45198154  3.10145283  2.53510714
  1.97731102  5.68013716 15.16344452 11.19501591 11.05734062 10.75300407
  7.9999342   4.99676228  3.13784218  2.42641354  2.0184195   3.24665356
  6.12501431  9.23560143 17.40719604 20.83913422 20.38603592 19.22265434
  6.49702406  2.97040176  2.45650244  4.00931692  7.49763966 12.20698166
 20.4227047  27.86915207 32.58364868 30.28461075  7.90498734  3.2586813
  3.24483681  4.61085558  8.19875908 13.55164242 21.66265106 34.56975555
 53.2396698  56.95442581 10.0946846   2.45752692  3.06493592  4.97295427
  8.48743439 13.48868179 20.68794632 33.60032654 28.80230331 16.67231369
  2.11156464  1.72100925  2.47311449  3.98189402  6.76608181 11.17360687
 15.48664856 15.35234261  6.63216019  2.00749969  1.63379705  1.59555244
  1.90778589  2.80316615  5.23083448  9.2758522   5.05583572  2.50117707
  2.42648053  2.24182415  1.92094517  1.60712194  1.38751781  1.71691036
  1.97691083  5.53216839  9.43405342  3.31429029  3.3216083   2.86675215
  2.40629506  1.82667398  1.34103537  0.76067305  5.50918913 11.3309021
 11.32804966  4.68574429  3.76966381  3.2833426   2.82159185  2.23523808
  1.69796896  3.49098682 13.22111702 12.16934109]",221551
ILTJ132728.72+560318.1,201.8696647869293,0.1701414122445793,0.19750175417634475,56.055042520232156,0.133814346414086,0.16722775501806642,2.8608571943827847,0.08109051123028621,0.577889112613881,8.816356588776584,0.15761932611596233,1.7703021188440748,11.734441431383589,0.4609477330773989,7.330089285145553,0.21758454808474345,146.97443893913234,3.9458271473770368,0.08109051123028621,M,P200+55,1841,8.03364e-05,8.016975e-05,7,7,0,"[24.622612   19.14412308 15.35842609 14.84078217 14.21523857 13.16795349
 11.64479446 11.78246307 15.26124859 18.49171066 21.03805733 22.04666901
 18.66511536 15.07180786 13.6263485  12.70713329 11.00694847 10.55612564
 10.40341663 16.22016335 24.235075   29.73845291 29.54782104 25.36598206
 14.09311295 12.8570137  10.82783985 10.78451729 13.278162   18.13516808
 26.56948853 34.06984711 37.12545776 31.9895668  12.85725212 12.21983528
 11.02814102 10.97563362 13.80863667 19.16155624 26.06381607 37.4821701
 52.77328873 53.23321152 11.69486427 10.55966377 10.34208012 11.07305813
 13.60240746 18.07128906 23.39718246 35.17941284 30.86885071 19.04061508
  8.95935535 10.09874439  9.87659073 10.09163952 11.65152454 14.94903851
 17.9976387  18.82591629 13.10444927 10.90630341 11.24088669 10.53340912
  9.74382401  9.33992958 10.24577141 12.67802429 11.90302277 11.35213661
 12.57121372 12.7422142  12.11540604 11.04938889  9.76571083  8.77528
  6.71166897  9.62782288 19.86282158 14.67115211 14.74491692 13.92917347
 12.96474361 11.76941872 10.36594772  7.07165527  8.79753685 18.26651192
 22.74572563 16.6191864  15.43361664 14.60703087 13.76289558 12.68608284
 11.30563831  7.45377588 13.61991119 19.92558289]",220674
