,Source_Name,RA,E_RA,E_RA_tot,DEC,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_rms,S_Code,Mosaic_ID,Isl_id,median_local_sigma,mean_local_sigma,Closest_prototype,Closest_prototype_x,Closest_prototype_y,Heatmap,Distances
197787,ILTJ140318.71+541923.4,210.8279375435536,0.9583549273980659,0.9635238626159119,54.32318862150314,2.5056798591794704,2.5076613853668093,0.8188491811058789,0.12332911137491465,0.20501372873160675,172.00860706288432,0.0712481609333408,34.401795192242304,68.9316146805205,5.917590152878951,26.841588826510787,2.211352462994012,86.32333126883293,7.869146239512005,0.12332911137491465,M,P209+55,1628,0.00012633696,0.00012841553,60,0,6,"[716.36608887 711.11254883 714.4586792  717.27856445 716.60101318
 713.74310303 708.57537842 687.953125   676.17370605 694.77331543
 696.13439941 689.15393066 688.96722412 702.20147705 709.53717041
 708.96429443 705.2578125  698.54614258 684.46826172 689.32684326
 677.51196289 665.32385254 659.84014893 669.49389648 684.96728516
 701.68890381 701.46459961 695.39221191 690.24121094 684.44598389
 667.02258301 646.05444336 613.01416016 593.21380615 648.6307373
 695.45849609 697.29882812 693.07470703 687.57495117 679.21411133
 655.31689453 619.1428833  552.33074951 477.46682739 601.8213501
 695.6461792  697.99023438 692.69030762 685.56292725 673.84277344
 647.24633789 615.85186768 588.75299072 577.80969238 672.57409668
 702.12457275 699.55371094 692.87225342 684.56274414 671.82421875
 651.73364258 642.52709961 663.85144043 691.73443604 704.56573486
 705.64440918 701.11956787 693.02770996 683.56555176 668.96337891
 658.19445801 680.57397461 703.60302734 710.58081055 710.42749023
 708.0255127  702.82641602 694.73553467 676.99206543 653.28845215
 680.2869873  702.03723145 715.42974854 714.8104248  713.33911133
 710.62609863 705.84283447 691.61401367 670.39697266 660.91217041
 699.52880859 709.99291992 717.52954102 716.71429443 715.47741699
 713.07128906 708.56030273 686.47747803 674.59753418 685.39935303]",477.4668273925781
163894,ILTJ142900.53+543649.7,217.2522076640171,1.0343161317072953,1.0460713251871985,54.613804598245146,1.6074225099239776,1.615011604441051,3.3001558907562862,0.11473348422441633,0.6699290473878641,216.3959522737737,0.5245982826582475,43.28236973384315,117.52442893318272,4.179314544781578,47.62145501068915,1.671312189795925,61.369728720301325,3.4025949596562417,0.11473348422441633,M,P218+55,5559,0.00011274409,0.00011264032,60,0,6,"[588.51312256 584.73352051 587.07794189 588.9342041  588.37127686
 586.01611328 581.57696533 568.91821289 563.81719971 572.46789551
 571.04852295 565.26757812 566.53283691 576.89770508 583.62493896
 582.44067383 578.73608398 573.68127441 566.15789795 566.40667725
 552.90844727 545.8180542  545.43682861 548.28552246 564.40075684
 577.62731934 575.67901611 569.49285889 564.92285156 558.45928955
 547.17718506 531.01721191 504.86242676 485.12011719 540.77062988
 573.15332031 573.04168701 568.06237793 562.77453613 556.31262207
 538.51708984 512.28411865 456.02127075 384.34375    499.4854126
 572.26928711 572.83898926 567.88659668 561.79772949 552.58325195
 532.96533203 509.68258667 489.25476074 475.94940186 555.28991699
 576.54388428 574.06481934 568.16186523 561.22424316 551.32818604
 537.64465332 528.55145264 543.16186523 566.75518799 578.82977295
 579.33843994 575.30688477 568.78125    561.43261719 550.57348633
 534.46520996 557.44085693 576.66265869 583.15258789 583.33300781
 581.14001465 576.69915771 570.32714844 554.26605225 529.44909668
 548.71887207 573.18530273 587.55090332 586.92260742 585.53430176
 583.32086182 579.4743042  568.1932373  546.27062988 531.86633301
 569.10803223 581.78668213 589.15844727 588.44152832 587.41394043
 585.46899414 581.78759766 566.07385254 555.69628906 557.26116943]",384.34375
255779,ILTJ120122.67+492554.0,180.34446440535743,0.3947409802298433,0.40848755147963295,49.43168351777333,0.30109027922798154,0.3188996620985857,10.684839538364796,0.24581601610407236,2.1510595882488763,2123.271541301789,1.7488479536622679,424.65790937323663,186.93820280981132,1.1238048106671672,54.19518541785838,0.3222030130826203,36.99826792239229,0.5259672448148582,0.24581601610407236,M,P18Hetde,951,0.0004722326,0.00046469632,60,0,6,"[617.47375488 613.2734375  615.28570557 617.76940918 617.11035156
 614.53436279 609.53533936 585.24511719 569.24761963 590.94165039
 597.78851318 589.81896973 589.38745117 601.55163574 610.41601562
 610.64862061 606.54418945 600.13049316 585.18145752 591.23291016
 576.89282227 564.71533203 557.65374756 565.43518066 584.87615967
 604.94934082 603.00421143 596.66278076 591.2411499  584.67327881
 568.30462646 543.18609619 506.60949707 485.98971558 547.07910156
 599.07733154 599.50964355 594.48779297 588.81335449 580.96502686
 556.62823486 514.86578369 438.02441406 371.80566406 497.32507324
 597.64978027 599.2244873  593.66949463 586.27868652 575.23065186
 546.25366211 509.71286011 481.50100708 469.72113037 571.94885254
 603.67126465 600.63195801 593.53845215 584.74316406 572.56402588
 549.43591309 539.69451904 561.50744629 591.81237793 606.29980469
 606.71942139 601.64483643 593.45648193 584.10797119 567.98986816
 552.83862305 580.53710938 603.99536133 611.402771   611.34545898
 608.62365723 603.2010498  595.34057617 572.22167969 543.27093506
 575.79925537 601.52966309 616.24316406 615.38397217 613.97961426
 611.1272583  606.68341064 588.78979492 558.21875    547.53125
 597.84423828 610.63812256 618.1953125  617.19372559 615.9095459
 613.69189453 609.38354492 581.35858154 563.05554199 575.84936523]",371.8056640625
301543,ILTJ115341.62+475132.6,178.4234356893948,0.22035682627244707,0.2788213990388357,47.85906206444295,0.2764683170158869,0.32499072600722795,4.366578149167894,0.0896474375622347,0.8779048082640254,469.9441576029329,0.2705745624880145,93.9892209841058,71.70278165066577,0.6684064660981468,53.52565179615093,0.4963213127999041,110.96939631344809,1.6978664205258835,0.0896474375622347,M,P15Hetde,668,8.9726156e-05,8.938337e-05,60,0,6,"[582.78869629 577.0201416  579.3460083  582.08251953 581.43341064
 578.52618408 572.98046875 556.30267334 546.11798096 564.02197266
 559.43273926 551.3704834  550.68640137 564.85095215 574.42358398
 574.2088623  569.88934326 562.88696289 550.36077881 553.61724854
 535.82592773 521.83618164 513.96331787 523.90075684 547.24743652
 567.79992676 566.13952637 559.0078125  552.91601562 545.05236816
 524.99554443 496.3069458  456.09747314 442.75708008 509.87860107
 561.44610596 562.27307129 556.75756836 550.3293457  540.519104
 512.37420654 464.30526733 381.8503418  328.39877319 463.78759766
 560.00378418 561.93328857 555.84674072 547.59240723 534.48730469
 502.16235352 460.88897705 432.64630127 431.12023926 536.61102295
 566.41320801 563.39733887 555.65026855 545.9821167  531.58880615
 508.32293701 496.50866699 519.78839111 553.72613525 569.45196533
 570.15979004 565.01885986 555.89916992 545.30267334 529.33752441
 527.74829102 544.42126465 566.80731201 574.89807129 575.00891113
 572.28076172 566.45263672 557.90881348 542.9498291  524.76647949
 558.0914917  571.28326416 580.13049316 579.35925293 577.88592529
 575.0098877  570.06243896 558.41229248 543.86456299 541.17138672
 571.9888916  577.11853027 582.29772949 581.39489746 580.12384033
 577.67559814 573.17089844 556.35290527 549.19677734 560.0748291 ]",328.3987731933594
57981,ILTJ131358.53+532819.7,198.4938776964032,0.1923697443678803,0.23004155224843986,53.47215826689949,0.1998715256873896,0.23635063781025195,3.798092604737119,0.07458120671799406,0.7632710224827507,218.6189935739219,0.33478813404517554,43.725080413255704,50.29501191241386,0.510546143721753,40.45013479584127,0.4075173041400856,130.41965595907908,2.31227450887816,0.07458120671799406,M,P37Hetde,3280,7.457886e-05,7.4328156e-05,60,0,6,"[607.68408203 598.63793945 597.11187744 598.93286133 597.83123779
 594.14361572 587.06286621 572.6383667  569.91912842 587.46801758
 575.98309326 567.14416504 568.95861816 585.28118896 592.30108643
 590.25634766 582.89575195 574.86480713 566.62036133 568.10314941
 539.48083496 527.74060059 532.35888672 555.73028564 570.2822876
 584.0670166  578.38000488 566.90026855 559.30786133 549.56213379
 519.8381958  490.45623779 463.09674072 472.89813232 532.17529297
 575.87701416 572.78485107 563.04211426 553.4241333  539.23425293
 498.9397583  444.19818115 373.06915283 350.59854126 482.78540039
 570.75292969 569.31787109 559.41168213 546.54333496 527.51867676
 482.94848633 431.85491943 418.0406189  444.38494873 549.07525635
 575.33337402 569.16369629 557.52209473 542.80090332 521.99584961
 493.02459717 481.20553589 518.82159424 563.10003662 581.27416992
 579.68035889 571.18286133 558.13684082 542.79949951 521.25683594
 532.34924316 552.85021973 579.22216797 588.53710938 587.88708496
 583.19464111 574.69268799 563.35717773 547.40484619 527.85827637
 578.07495117 588.66955566 596.32507324 594.6348877  592.34472656
 587.66467285 581.0480957  569.25994873 558.01257324 559.11035156
 596.22442627 596.58435059 599.42687988 597.66870117 595.64587402
 592.13238525 586.65539551 571.9050293  569.79864502 582.96026611]",350.5985412597656
303051,ILTJ114837.37+484256.3,177.15570568732758,0.5581305552023764,0.583689950511075,48.715638750564786,0.6635693644048796,0.685206934475859,2.2449062456805597,0.10143161489395423,0.4602961379110396,82.35401510833272,0.33501689077617336,16.474209798823285,75.07634753661642,1.853186439818252,35.491011557267434,0.8571773783941519,127.59518642172716,2.5205025496264053,0.10143161489395423,M,P15Hetde,2408,0.00010379197,0.00010352262,60,0,6,"[557.39526367 550.54418945 551.02337646 552.86523438 551.97528076
 549.15222168 543.37219238 527.82324219 519.78125    537.24511719
 532.06585693 522.56561279 521.76586914 537.68884277 547.28710938
 545.62243652 540.109375   532.91064453 525.23937988 525.91589355
 505.45904541 492.2383728  487.55194092 501.66586304 521.98602295
 540.11798096 536.70477295 528.07458496 521.42974854 514.16308594
 495.121521   467.80328369 432.89349365 425.25634766 486.31256104
 534.05432129 533.11413574 526.90179443 520.31689453 510.75869751
 482.51428223 437.12542725 363.84783936 314.4911499  440.60125732
 531.67700195 532.90618896 526.76055908 518.43041992 504.86431885
 472.92352295 433.28649902 407.56951904 407.77612305 508.86505127
 537.10113525 533.75219727 526.16821289 516.29504395 501.83044434
 479.23638916 466.48440552 488.93737793 523.95690918 540.2265625
 540.1270752  534.6015625  525.69396973 515.26904297 499.72802734
 498.27249146 515.70751953 537.29943848 545.7277832  545.42376709
 542.16186523 536.41271973 527.63037109 513.78308105 492.64230347
 526.91625977 542.50170898 551.42687988 550.20812988 548.17346191
 545.19781494 540.15643311 529.57818604 511.40924072 506.77438354
 544.00970459 549.49267578 553.57995605 552.22924805 550.57696533
 547.99353027 543.72039795 526.69665527 517.54797363 529.42053223]",314.49114990234375
197855,ILTJ140304.88+541923.1,210.77031507597755,1.100227617916805,1.104732944285188,54.32308310772672,1.18228050957873,1.186474302415301,0.7297473853925391,0.1256286632269621,0.19257157340501568,16.073296737887848,0.22565026809162006,3.2225692800089916,23.56787428365545,3.2951752162762546,14.840672480148962,1.8987469976446367,131.86708694753608,17.17804352038009,0.1256286632269621,M,P209+55,1699,0.00012796043,0.00013233011,60,0,6,"[464.58050537 457.987854   457.19137573 458.92803955 458.32785034
 455.95623779 451.78741455 439.88824463 436.62664795 449.10845947
 448.3916626  443.04800415 441.53726196 449.84228516 453.46179199
 452.26818848 449.63204956 445.87060547 437.98730469 442.67660522
 435.02911377 428.15136719 425.17047119 432.90786743 438.76034546
 447.01171875 446.71765137 443.30163574 441.41052246 438.73937988
 427.67944336 413.50384521 389.52365112 376.45983887 411.69482422
 442.02581787 443.73254395 440.74816895 438.48321533 434.87634277
 417.59457397 391.44381714 342.61068726 289.28005981 373.96130371
 440.79333496 442.44580078 439.03012085 435.0100708  429.02557373
 407.12893677 383.70730591 363.8125     353.71612549 423.57168579
 445.12619019 442.8104248  437.61395264 431.68154907 423.85369873
 407.44766235 401.27252197 417.17367554 437.83319092 447.76190186
 447.74447632 443.60144043 437.14263916 429.82800293 419.63818359
 414.98800659 429.85668945 447.55059814 452.68719482 452.14453125
 449.68774414 445.13067627 439.08395386 426.67355347 411.13330078
 436.80133057 448.5368042  457.13479614 456.26699829 454.93026733
 452.29107666 448.45846558 438.26559448 426.9772644  422.28546143
 451.90789795 455.16778564 459.08544922 458.20324707 457.05664062
 454.97537231 451.21746826 437.0581665  434.15975952 441.95736694]",289.2800598144531
120878,ILTJ121101.69+502852.6,182.75704253336718,0.3754697949870153,0.3952789681932585,50.48129759211381,0.7370285954555795,0.7473145564402985,1.9027044471268209,0.10333053796784952,0.3943203882648885,84.46755625173047,0.48625653688564896,16.900507915007587,95.28756662484099,1.8909725322909263,24.81478416824231,0.4670874928593436,65.49997792229652,1.636234814041394,0.10333053796784952,M,P22Hetde,3794,0.00010646593,0.000105155,60,0,6,"[601.00170898 592.12506104 590.73095703 592.44506836 591.37194824
 587.46954346 580.3225708  561.5177002  553.86309814 575.08953857
 571.38708496 563.54174805 563.6696167  578.60070801 585.52075195
 583.47094727 576.26086426 568.17419434 555.93652344 560.92468262
 537.97619629 526.00317383 525.61462402 546.03259277 561.73748779
 577.59484863 571.73376465 561.84606934 554.33178711 547.11138916
 517.9296875  488.85223389 452.27124023 447.1625061  517.18432617
 569.39190674 566.58691406 556.89569092 548.09912109 535.41412354
 494.49649048 442.64535522 359.58911133 312.72375488 461.5357666
 563.26025391 562.21008301 552.8213501  540.9239502  522.68695068
 477.97640991 430.70220947 410.99084473 423.86376953 537.47595215
 567.92401123 561.78393555 550.4239502  536.28076172 515.95422363
 485.46875    477.48675537 514.7779541  557.12976074 574.19049072
 572.19787598 563.55950928 550.58288574 535.13806152 512.3996582
 511.87908936 542.21234131 573.15148926 581.79321289 580.68109131
 575.75292969 567.23632812 555.65649414 531.64355469 502.42114258
 554.57592773 576.31182861 589.47955322 587.8760376  585.40826416
 580.63018799 573.71166992 556.7253418  533.9317627  527.14257812
 581.38867188 587.72692871 592.82995605 591.10229492 589.11920166
 585.43231201 579.27685547 557.78479004 547.85101318 561.14294434]",312.7237548828125
300264,ILTJ105159.22+552335.1,162.99674301551292,0.4018447344119738,0.4363837998535011,55.39308350634293,0.5152824351343791,0.5426487060317811,8.214016061128444,0.4925326211377978,1.7150483308011792,697.2802595764928,0.24303228611220604,139.45626368325853,50.52107753974804,1.2195250151884411,39.22507559615058,0.9383617480643492,79.63469642696346,4.882240108558165,0.4925326211377978,M,P164+55,4211,0.00045199934,0.00044733463,60,0,6,"[564.07043457 554.65087891 552.88201904 554.42694092 553.39685059
 549.81488037 542.86218262 530.1229248  528.65002441 545.01867676
 532.67132568 524.37268066 525.293396   540.79296875 547.84283447
 546.42572021 539.02575684 530.62225342 520.53027344 523.43164062
 498.58764648 486.11187744 487.42462158 508.72723389 525.41333008
 541.14581299 534.96002197 524.55950928 516.14562988 508.33856201
 479.72460938 448.65429688 415.82785034 419.31256104 485.29678345
 533.35955811 530.61517334 520.45050049 511.25979614 499.02514648
 457.87347412 402.83514404 324.57846069 298.6317749  436.40512085
 527.75323486 526.59283447 517.39007568 505.37982178 486.86401367
 441.70327759 391.29794312 373.22131348 395.28552246 504.08261108
 531.78649902 526.00891113 514.84698486 500.83633423 480.64758301
 450.32272339 439.24169922 476.64852905 519.73034668 537.53686523
 535.61987305 527.18481445 514.44818115 499.66906738 478.35412598
 488.98028564 508.35748291 535.37304688 544.36560059 543.54846191
 538.70288086 530.40185547 519.37823486 503.53009033 485.66040039
 536.47375488 545.00994873 551.80932617 550.13311768 547.83850098
 543.19812012 536.69262695 525.29003906 517.52398682 519.33752441
 553.94537354 552.61938477 554.89251709 553.12512207 551.1729126
 547.74975586 542.15411377 529.46118164 530.29901123 542.78436279]",298.63177490234375
158258,ILTJ143246.16+492728.2,218.19232950741085,0.3135665903976161,0.35151851959924363,49.45784885586098,0.2967464521701337,0.3366002374972706,4.3013331225323626,0.12903337483294308,0.8698898074242158,188.76738299449462,0.4282336838706981,37.75590522542945,58.338733296527366,0.8931238524411269,32.46551093068113,0.4856476261522117,41.434973880808506,1.7558920236055122,0.12903337483294308,M,P219+50,5919,0.00012868264,0.00012895915,60,0,6,"[524.28210449 516.91607666 516.35473633 518.31164551 517.42565918
 514.15100098 507.91290283 492.32635498 484.3538208  503.31344604
 499.43563843 493.1262207  493.33215332 503.43652344 511.10916138
 510.32806396 504.4128418  497.01174927 486.6529541  490.50500488
 473.57653809 463.45959473 461.49768066 470.18197632 486.68145752
 504.796875   500.5567627  492.43493652 485.86047363 479.96234131
 459.16424561 435.34320068 400.33370972 388.89205933 449.61090088
 497.9604187  496.57629395 488.70819092 481.52148438 472.42926025
 440.99298096 397.80957031 322.54983521 275.54074097 401.95861816
 493.97595215 493.9848938  486.39663696 476.87594604 462.59078979
 426.99786377 387.45584106 365.35528564 370.24145508 471.05206299
 498.62359619 494.06375122 484.86599731 473.58917236 457.51269531
 432.81060791 424.29333496 453.73928833 488.4508667  503.38848877
 502.33782959 495.45739746 484.77313232 472.52056885 454.98907471
 456.20825195 476.95205688 502.15808105 509.65853882 508.94082642
 505.09454346 498.07110596 488.44607544 472.18347168 450.92056274
 492.11376953 506.53424072 516.03198242 514.78302002 512.69464111
 508.91040039 503.17712402 490.9654541  476.35018921 472.51837158
 510.67443848 514.51550293 518.69262695 517.29614258 515.66571045
 512.70288086 507.47210693 490.84350586 485.60095215 497.47943115]",275.5407409667969
